SSN,PID,CC,Site,ICRAFPID,Lon,Lat,Depth,pH,Hp,EC,C,N,P,K,S,Ca,Mg,Al,B,Cu,Fe,Mn,Zn,Na
icr010158,TZ-rQlLgW,TZ,Mbinga,Mbinga-13-1,35.200699,-11.1291,10,6.229,0.15,0.107,13323,673,89.3,145.3,7.5,1056,166.9,1557,0.2062,4.307,167.9,551.3,3.576,33.32
icr010159,TZ-rQlLgW,TZ,Mbinga,Mbinga-13-1,35.200699,-11.1291,35,6.134,0.05,0.065,5540,395,49.5,151.7,6.4,612.8,138,1594,0.1379,3.367,177.3,442.5,2.492,59.05
icr010178,TZ-q1A61P,TZ,Mbinga,Mbinga-14-1,35.195202,-11.0988,10,6.288,0.01,0.04,8475,378,26.4,136.6,6.2,565.9,165.6,1653,0.0679,2.433,154.2,480.4,3.002,52.39
icr010179,TZ-q1A61P,TZ,Mbinga,Mbinga-14-1,35.195202,-11.0988,35,6.055,0.05,0.04,3816,174,11.7,137.2,5.8,424,148.9,1515,0.0343,1.794,136,410.5,2.686,40.11
icr010198,TZ-1OElzh,TZ,Mbinga,Mbinga-15-1,35.191799,-11.0871,10,5.501,1.05,0.032,14524,858,4,91.8,5.3,261.8,76.5,2166,0.01,1.686,97.49,375.2,1.258,49.31
icr010199,TZ-1OElzh,TZ,Mbinga,Mbinga-15-1,35.191799,-11.0871,35,5.559,1.05,0.03,15620,900,4.5,96.7,6.6,279.9,80.3,2081,0.01,1.709,82.02,330.7,1.262,45.78
icr010218,TZ-5j6aLZ,TZ,Mbinga,Mbinga-16-1,35.193199,-11.0615,10,6.423,0.05,0.062,11888,713,4.7,207.9,6.5,686.6,171.4,1477,0.1441,4.109,120.9,674.3,3.621,55.65
icr010219,TZ-5j6aLZ,TZ,Mbinga,Mbinga-16-1,35.193199,-11.0615,35,6.263,0.05,0.046,6351,417,0.7,231.2,5.6,529,161.7,1523,0.1794,3.087,117.3,612.4,3.454,62.76
icr010335,ML-6Ua9Yu,ML,Kontela,Kontela-1-1,-11.033153,14.77008,10,6.65,0.56,0.085,6652,695,1.5,154,7,1139,538,802,0.11,2.2,165,70,1.02,103
icr010336,ML-6Ua9Yu,ML,Kontela,Kontela-1-1,-11.033153,14.77008,35,7.12,0.75,0.282,4569,675,0.4,78,9,2055,788,908,0.14,2.49,156,78,0.92,371
icr010355,ML-XNghYI,ML,Kontela,Kontela-2-1,-11.035792,14.800267,10,6.85,0.85,0.076,4864,686,2.2,170,7,1988,575,778,0.18,2.36,128,67,1.7,58
icr010356,ML-XNghYI,ML,Kontela,Kontela-2-1,-11.035792,14.800267,35,6.51,0.47,0.065,3582,623,0.8,145,7,2244,630,854,0.13,2.83,144,63,1.3,56
icr010375,ML-8KjW41,ML,Kontela,Kontela-3-1,-11.032858,14.821522,10,6.42,0.66,0.055,5837,664,2.4,109,7,945,258,800,0.09,1.5,211,83,1.31,44
icr010376,ML-8KjW41,ML,Kontela,Kontela-3-1,-11.032858,14.821522,35,5.91,0.68,0.062,4041,612,1.6,81,6,1131,334,860,0.08,1.57,141,80,0.9,79
icr010395,ML-hila1i,ML,Kontela,Kontela-4-1,-11.033568,14.83678,10,7.72,0.47,0.383,5311,301,3.7,142,21,2655,398,771,0.58,1.57,108,104,1.59,60
icr010396,ML-hila1i,ML,Kontela,Kontela-4-1,-11.033568,14.83678,35,7.74,0.66,0.26,6892,628,7.6,183,11,2233,370,733,0.65,1.51,110,104,1.36,58
icr010415,ML-Sxi8dD,ML,Kontela,Kontela-5-1,-11.011,14.76583,10,5.95,1.07,0.062,4491,604,7.2,245,8,1771,767,1004,0.07,4.29,390,48,2.16,198
icr010416,ML-Sxi8dD,ML,Kontela,Kontela-5-1,-11.011,14.76583,35,6.2,0.94,0.103,3239,473,3,165,9,1854,747,886,0.12,3.7,280,45,3.26,378
icr010435,ML-AfDFgy,ML,Kontela,Kontela-6-1,-11.011758,14.800172,10,6.4,0.56,0.15,3487,241,3.1,225,17,1026,413,915,0.22,1,73,35,1.56,96
icr010436,ML-AfDFgy,ML,Kontela,Kontela-6-1,-11.011758,14.800172,35,5.96,1.03,0.239,2590,158,1.5,148,21,1205,555,1013,0.12,1.09,107,55,1.01,145
icr010455,ML-uY5FB1,ML,Kontela,Kontela-7-1,-11.008533,14.824458,10,7,0.56,0.328,7229,417,2.2,209,16,1624,589,638,0.27,2.33,109,164,1.43,153
icr010456,ML-uY5FB1,ML,Kontela,Kontela-7-1,-11.008533,14.824458,35,7.13,0.38,0.144,5202,323,0.5,108,17,1490,726,831,0.14,2.14,129,189,1.15,207
icr010475,ML-PeAOrE,ML,Kontela,Kontela-8-1,-11.011252,14.83877,10,6.84,0.89,0.074,6725,450,2,89,8,985,313,768,0.13,1.58,184,67,0.94,137
icr010476,ML-PeAOrE,ML,Kontela,Kontela-8-1,-11.011252,14.83877,35,7.59,0.71,0.116,2892,231,1,67,6,1249,452,773,0.2,1.42,114,79,2.03,305
icr010495,ML-wG9z9A,ML,Kontela,Kontela-9-1,-10.98879,14.777712,10,7.8,0.28,0.45,4786,451,9.1,346,16,2630,505,668,0.22,1.35,121,141,1.61,61
icr010496,ML-wG9z9A,ML,Kontela,Kontela-9-1,-10.98879,14.777712,35,7.98,0.19,0.413,2738,201,2.4,106,7,4838,554,530,0.11,1.19,90,148,0.95,53
icr010515,ML-iooJMv,ML,Kontela,Kontela-10-1,-10.98228,14.806622,10,5.14,1.22,0.138,3754,240,3.3,101,21,743,271,1072,0.01,0.93,75,34,0.94,51
icr010516,ML-iooJMv,ML,Kontela,Kontela-10-1,-10.98228,14.806622,35,4.77,1.5,0.255,3118,269,1.9,130,11,871,334,1368,0.001,0.95,65,18,0.73,83
icr010535,ML-f2T5J9,ML,Kontela,Kontela-11-1,-10.99383,14.825788,10,7.36,0.85,0.148,6813,520,1.5,86,14,1176,490,758,0.2,1.64,133,93,0.59,319
icr010536,ML-f2T5J9,ML,Kontela,Kontela-11-1,-10.99383,14.825788,35,7.87,0.56,1.032,4056,314,0.5,64,329,2135,911,829,0.43,1.54,111,118,1.34,1052
icr010555,ML-8DQg6W,ML,Kontela,Kontela-12-1,-10.990747,14.839553,10,6.61,0.66,0.064,5628,375,2,87,6,847,279,945,0.05,1.52,248,92,2.18,112
icr010556,ML-8DQg6W,ML,Kontela,Kontela-12-1,-10.990747,14.839553,35,6.85,0.66,0.076,3650,269,1.3,73,5,1190,435,1088,0.11,1.45,145,74,1.39,294
icr010575,ML-tdOc1D,ML,Kontela,Kontela-13-1,-10.964785,14.778188,10,5.72,0.75,0.229,3781,250,4.1,99,20,1248,401,1121,0.07,1.22,92,83,0.88,99
icr010576,ML-tdOc1D,ML,Kontela,Kontela-13-1,-10.964785,14.778188,35,6.24,0.75,0.297,2341,199,1.8,81,9,1621,467,1086,0.08,1.32,120,112,2.04,219
icr010595,ML-Cgf2Oq,ML,Kontela,Kontela-14-1,-10.958333,14.791098,10,6.23,0.66,0.051,4866,317,2.6,99,6,938,281,734,0.05,1.36,137,124,2.11,52
icr010596,ML-Cgf2Oq,ML,Kontela,Kontela-14-1,-10.958333,14.791098,35,6.14,0.75,0.044,3880,255,2.2,81,10,1203,410,1060,0.03,1.64,111,115,2.53,73
icr010615,ML-M2MmQD,ML,Kontela,Kontela-15-1,-10.967457,14.821367,10,6.9,0.66,0.086,6715,469,1.7,102,9,1051,560,939,0.15,1.62,224,56,1.02,192
icr010616,ML-M2MmQD,ML,Kontela,Kontela-15-1,-10.967457,14.821367,35,7.13,0.75,1.015,4338,277,0.5,65,421,1845,937,958,0.21,1.66,161,64,4.39,612
icr010635,ML-umcobG,ML,Kontela,Kontela-16-1,-10.96401,14.843992,10,6.04,0.75,0.063,4842,243,2.8,88,7,618,199,803,0.04,0.99,166,62,1.85,49
icr010636,ML-umcobG,ML,Kontela,Kontela-16-1,-10.96401,14.843992,35,5.85,1.41,0.048,4012,196,1.2,102,6,869,386,1176,0.02,1.01,110,40,1.02,85
icr010687,ML-jTwGK2,ML,Koloko,Koloko-1-1,-6.327395,12.450307,10,6.52,0.56,0.051,9257,704,2.3,116,6,1381,833,1045,0.08,1.85,254,48,1.25,41
icr010688,ML-jTwGK2,ML,Koloko,Koloko-1-1,-6.327395,12.450307,35,6.66,0.56,0.049,6529,565,0.9,109,5,1360,990,857,0.06,1.54,163,52,1.51,55
icr010707,ML-vkLSVn,ML,Koloko,Koloko-2-1,-6.326855,12.472217,10,7.12,0.47,0.131,9055,653,7.8,74,7,1770,306,611,0.31,1.99,214,57,1.41,37
icr010708,ML-vkLSVn,ML,Koloko,Koloko-2-1,-6.326855,12.472217,35,6.89,0.47,0.065,4763,477,2.7,63,8,1530,339,826,0.11,2.08,158,48,1.72,39
icr010727,ML-5Xhe0Y,ML,Koloko,Koloko-3-1,-6.33263,12.492743,10,7.05,0.66,0.046,10442,647,5.4,90,8,603,187,1059,0.02,0.86,86,110,1.17,40
icr010728,ML-5Xhe0Y,ML,Koloko,Koloko-3-1,-6.33263,12.492743,35,5.92,2.23,0.021,5195,500,1.5,44,7,187,77,1506,0.001,0.56,61,21,2.29,44
icr010747,ML-6FYRqi,ML,Koloko,Koloko-4-1,-6.32173,12.51337,10,5.55,0.66,0.146,6393,617,11.9,164,7,1149,213,652,0.18,1.38,121,78,1.22,54
icr010748,ML-6FYRqi,ML,Koloko,Koloko-4-1,-6.32173,12.51337,35,7.08,0.56,0.155,4415,599,13.2,162,12,1428,295,1539,0.12,1.78,121,62,1.25,40
icr010767,ML-SbrRZq,ML,Koloko,Koloko-5-1,-6.309545,12.452353,10,6.08,0.94,0.07,4734,511,4.3,101,10,623,170,982,0.13,0.95,88,65,1.44,50
icr010768,ML-SbrRZq,ML,Koloko,Koloko-5-1,-6.309545,12.452353,35,6.22,0.75,0.042,3514,500,1.4,58,8,621,207,1237,0.05,0.78,55,36,0.77,40
icr010787,ML-Ghatsp,ML,Koloko,Koloko-6-1,-6.312132,12.466142,10,6.68,0.66,0.099,11272,890,4.3,124,26,1858,669,1673,0.12,2.54,204,22,1.85,118
icr010788,ML-Ghatsp,ML,Koloko,Koloko-6-1,-6.312132,12.466142,35,6.98,0.39,0.103,5744,612,1.4,77,49,1798,841,1754,0.08,1.87,63,16,0.97,180
icr010808,ML-GlExXk,ML,Koloko,Koloko-7-2,-6.314947,12.491103,10,5.72,0.75,0.036,9429,725,5.8,78,9,524,184,1247,0.03,0.96,96,74,1.46,40
icr010809,ML-GlExXk,ML,Koloko,Koloko-7-2,-6.314947,12.491103,35,5.66,1.88,0.02,4937,641,1.9,48,6,248,112,1710,0.001,0.69,70,38,0.91,42
icr010826,ML-TAjAFb,ML,Koloko,Koloko-8-1,-6.302163,12.519647,10,5.69,1.22,0.04,9063,791,3.5,87,9,1067,235,1620,0.06,1.88,204,80,0.94,60
icr010827,ML-TAjAFb,ML,Koloko,Koloko-8-1,-6.302163,12.519647,35,5.74,1.22,0.027,3906,556,1.1,54,6,919,212,1761,0.01,0.72,80,63,0.65,39
icr010845,ML-Inp6xu,ML,Koloko,Koloko-9-1,-6.288508,12.451908,10,6.59,0.47,0.071,5876,271,4.9,68,7,592,177,587,0.03,1.73,204,51,1.9,41
icr010846,ML-Inp6xu,ML,Koloko,Koloko-9-1,-6.288508,12.451908,35,5.63,1.5,0.028,3944,385,2.8,50,7,380,141,928,0.001,2.07,155,10,1.18,51
icr010865,ML-58aRmP,ML,Koloko,Koloko-10-1,-6.281817,12.470887,10,6.03,0.56,0.065,15347,1077,3,233,9,1705,435,1626,0.09,2.49,101,73,1.56,56
icr010866,ML-58aRmP,ML,Koloko,Koloko-10-1,-6.281817,12.470887,35,4.8,3.01,0.11,11055,1009,2.8,60,7,551,122,2462,0.001,0.55,42,4,0.82,54
icr010885,ML-boasJc,ML,Koloko,Koloko-11-1,-6.286193,12.497847,10,4.83,2.35,0.161,7918,717,4.2,79,10,818,166,2539,0.04,1,67,7,1.35,42
icr010886,ML-boasJc,ML,Koloko,Koloko-11-1,-6.286193,12.497847,35,5.71,1.5,0.029,5005,641,0.9,100,7,1325,352,2445,0.02,1.08,55,27,1.37,42
icr010905,ML-eS8rrF,ML,Koloko,Koloko-12-1,-6.280505,12.514257,10,6.24,0.75,0.052,11929,977,1.9,206,10,1576,382,1928,0.17,1.6,69,36,1.3,58
icr010906,ML-eS8rrF,ML,Koloko,Koloko-12-1,-6.280505,12.514257,35,5.4,2.44,0.033,8278,759,0.6,71,8,963,219,2664,0.03,0.68,36,14,0.66,50
icr010925,ML-cendf1,ML,Koloko,Koloko-13-1,-6.263188,12.448383,10,5.66,0.75,0.038,18304,1351,4.6,222,7,1361,400,1524,0.01,4.32,414,26,2.02,43
icr010926,ML-cendf1,ML,Koloko,Koloko-13-1,-6.263188,12.448383,35,6.14,0.66,0.033,7377,461,2.1,124,5,1144,409,1144,0.001,4.74,167,26,1.75,50
icr010945,ML-eJ3wak,ML,Koloko,Koloko-14-1,-6.265613,12.470287,10,6.74,0.56,0.058,5239,371,5.4,81,7,966,163,673,0.1,1.5,105,82,0.97,49
icr010946,ML-eJ3wak,ML,Koloko,Koloko-14-1,-6.265613,12.470287,35,7.01,0.85,0.065,4312,334,1.6,58,7,1148,246,1037,0.05,2,132,90,2.23,44
icr010965,ML-pjAhdO,ML,Koloko,Koloko-15-1,-6.255562,12.49387,10,5.91,1.13,0.037,12209,1099,1.9,109,7,1352,337,2081,0.04,1.22,75,29,0.88,40
icr010966,ML-pjAhdO,ML,Koloko,Koloko-15-1,-6.255562,12.49387,35,5.71,1.79,0.024,9183,989,0.7,60,5,912,188,3041,0.001,0.64,47,7,0.64,47
icr010985,ML-BhGW9E,ML,Koloko,Koloko-16-1,-6.259612,12.516922,10,5.84,1.03,0.036,11085,902,2.5,136,9,1184,354,1863,0.1,1.41,77,46,1.17,55
icr010986,ML-BhGW9E,ML,Koloko,Koloko-16-1,-6.259612,12.516922,35,5.7,1.6,0.023,7103,915,0.4,59,6,932,254,2722,0.001,0.74,60,12,0.96,46
icr011037,BF-HGxDv6,BF,Bondigui,Bondigui-1-1,-3.581577,10.885173,10,7.12,0.658,0.121,43055,3576,5.3,126,9.8,4800,959,670,0.493,4.3,101,245,4.11,57.1
icr011038,BF-HGxDv6,BF,Bondigui,Bondigui-1-1,-3.581577,10.885173,35,7.12,0.376,0.099,33431,2267,2.4,79.7,7.8,4240,954,819,0.445,4.56,126,272,3.17,48.4
icr011067,BF-D0lzWt,BF,Bondigui,Bondigui-2-7,-3.576025,10.903278,10,6.52,0.94,0.048,14049,752,1,74.9,7.4,2260,671,1190,0.141,2.19,80.1,88.2,1.6,63.3
icr011068,BF-D0lzWt,BF,Bondigui,Bondigui-2-7,-3.576025,10.903278,35,6.39,0.752,0.036,9842,507,0.3,52.5,6.3,2320,686,1260,0.098,2.05,77.1,99.3,1.5,71.3
icr011077,BF-AOn9SV,BF,Bondigui,Bondigui-3-2,-3.57667,10.923393,10,6.5,0.658,0.105,15557,829,5,77.3,4.6,1850,326,811,0.191,4.49,157,217,3.77,34
icr011078,BF-AOn9SV,BF,Bondigui,Bondigui-3-2,-3.57667,10.923393,35,6.22,0.846,0.056,9771,477,1.2,45.5,4.8,1190,231,898,0.084,4.53,142,195,1.84,49.2
icr011097,BF-qmN5Fl,BF,Bondigui,Bondigui-4-3,-3.585212,10.94759,10,6.44,0.47,0.107,3428,233,3.6,71.6,4.6,425,68.4,342,0.074,0.319,61.1,72.9,1.42,53.2
icr011098,BF-qmN5Fl,BF,Bondigui,Bondigui-4-3,-3.585212,10.94759,35,6.5,0.752,0.068,2157,124,1.6,44.9,4.2,320,53,425,0.028,0.546,59.5,48.1,1.88,46.9
icr011111,BF-7E4fCb,BF,Bondigui,Bondigui-5-1,-3.558683,10.877617,10,6.88,0.564,0.113,16434,936,2.5,69.6,5.5,2470,549,816,0.281,2.9,136,210,3.9,39
icr011112,BF-7E4fCb,BF,Bondigui,Bondigui-5-1,-3.558683,10.877617,35,6.58,0.658,0.056,9302,500,0.5,43.1,4.8,1540,369,863,0.129,1.88,158,316,2.08,43.7
icr011133,BF-elp2ql,BF,Bondigui,Bondigui-6-5,-3.555052,10.903192,10,6.63,0.564,0.054,17610,829,1.2,89,4.5,1980,537,802,0.266,3.5,129,317,2.48,55.3
icr011134,BF-elp2ql,BF,Bondigui,Bondigui-6-5,-3.555052,10.903192,35,6.41,0.846,0.029,8080,401,0.2,40,6,1290,406,989,0.091,2.45,113,291,2.27,49.9
icr011144,BF-BCqOsm,BF,Bondigui,Bondigui-7-1,-3.564085,10.927998,10,7.41,0.376,0.142,22621,2061,5.1,105,6.1,2980,348,917,0.505,4.74,88.8,261,1.97,38.5
icr011145,BF-BCqOsm,BF,Bondigui,Bondigui-7-1,-3.564085,10.927998,35,7.69,0.564,0.127,15095,1090,4.2,72.5,5.4,2430,200,939,0.436,4.68,92.3,246,1.53,48.3
icr011164,BF-q1MIHD,BF,Bondigui,Bondigui-8-1,-3.550565,10.943257,10,5.77,0.94,0.037,17685,1265,5.8,51.2,8.8,457,78.4,1310,0.016,1.04,188,20.7,1.87,47.3
icr011165,BF-q1MIHD,BF,Bondigui,Bondigui-8-1,-3.550565,10.943257,35,5.61,1.32,0.027,12944,796,2.8,29.6,7.5,157,32.1,1390,0.02,0.911,186,3.26,1.33,39.4
icr011182,BF-1PVMCY,BF,Bondigui,Bondigui-9-1,-3.540295,10.880157,10,6.83,0.47,0.05,3964,205,1.8,73,4.3,530,107,840,0.102,1.05,96,41.8,2.03,53.7
icr011183,BF-1PVMCY,BF,Bondigui,Bondigui-9-1,-3.540295,10.880157,35,6.35,0.564,0.041,7166,378,2.9,77,4.8,478,125,682,0.052,1.01,131,77.9,2.63,37.4
icr011202,BF-vcvRa3,BF,Bondigui,Bondigui-10-1,-3.530618,10.90277,10,6.89,0.564,0.051,5456,483,0.9,74,4.9,694,126,705,0.097,0.883,81.3,76.2,1.06,39.4
icr011203,BF-vcvRa3,BF,Bondigui,Bondigui-10-1,-3.530618,10.90277,35,6.23,0.752,0.023,2944,292,0.5,50.8,4.3,453,88.9,798,0.017,0.612,81.6,61.8,1.5,49.3
icr011222,BF-dxVws4,BF,Bondigui,Bondigui-11-1,-3.533448,10.924675,10,6.98,0.564,0.115,8859,598,45.9,86,5.4,1300,114,435,0.21,1.64,187,81.6,5.63,38.5
icr011223,BF-dxVws4,BF,Bondigui,Bondigui-11-1,-3.533448,10.924675,35,6.77,0.658,0.046,3502,367,2.7,76.3,3.4,548,101,643,0.052,1.44,128,97.2,2.78,44.7
icr011241,BF-dKcib3,BF,Bondigui,Bondigui-12-1,-3.539667,10.941543,10,6.92,0.47,0.116,14712,959,9.8,111,6.3,1630,211,881,0.398,2.12,114,310,3.26,41.3
icr011242,BF-dKcib3,BF,Bondigui,Bondigui-12-1,-3.539667,10.941543,35,6.35,0.47,0.055,6372,537,0.8,47.1,5.3,784,148,835,0.068,1.42,93.6,210,2.02,34.5
icr011263,BF-xaoNSk,BF,Bondigui,Bondigui-13-2,-3.50814,10.876813,10,6.03,0.752,0.081,18965,1236,10.9,132,6.4,1510,257,1120,0.013,3.07,456,42,2.1,154
icr011264,BF-xaoNSk,BF,Bondigui,Bondigui-13-2,-3.50814,10.876813,35,6.98,0.658,0.074,6595,577,2.8,116,4.2,1630,328,768,0.02,2.31,176,92.4,1.65,308
icr011281,BF-EUbCwk,BF,Bondigui,Bondigui-14-1,-3.513665,10.898828,10,6.55,0.564,0.056,7893,500,5.9,123,4.9,684,104,632,0.082,1.04,79.3,68,2.37,33.2
icr011282,BF-EUbCwk,BF,Bondigui,Bondigui-14-1,-3.513665,10.898828,35,6.46,0.94,0.031,5010,344,1.1,63.1,3.6,524,99.3,657,0.027,0.913,59.7,56.4,1.86,38
icr011301,BF-RgH3hX,BF,Bondigui,Bondigui-15-1,-3.511267,10.927297,10,6.75,1.03,0.101,5508,349,3.8,60.3,5.1,517,71.5,339,0.122,0.51,54.6,66.6,2.23,34.5
icr011302,BF-RgH3hX,BF,Bondigui,Bondigui-15-1,-3.511267,10.927297,35,7.12,0.752,0.068,3233,232,1.2,55,4.3,466,75.5,487,0.078,0.674,52.1,52.3,1.13,45
icr011321,BF-29TzyM,BF,Bondigui,Bondigui-16-1,-3.513765,10.950885,10,6.19,0.564,0.069,14135,732,4.1,77.1,6.7,880,212,986,0.092,2.47,97.3,169,1.62,35.2
icr011322,BF-29TzyM,BF,Bondigui,Bondigui-16-1,-3.513765,10.950885,35,5.81,0.658,0.033,8552,456,1.4,31.7,5.7,401,74.1,1260,0.028,1.62,81.9,65.8,1.27,39.1
icr011824,TZ-8tnLMz,TZ,Bukwaya,Bukwaya-1-1,33.010086,-3.063745,10,6.886,1.344,0.064,3035,200,36.9,102.6,5.5,549.9,86.6,498.2,0.197,1.044,109.4,157.3,1.552,0.54
icr011825,TZ-8tnLMz,TZ,Bukwaya,Bukwaya-1-1,33.010086,-3.063745,35,6.661,0.672,0.055,1427,78,16,103.6,6.3,452,91.9,593.1,0.1089,0.7977,89.42,110.5,1.047,6.91
icr011843,TZ-gMSCPi,TZ,Bukwaya,Bukwaya-2-2,33.015202,-3.029698,10,6.039,1.536,0.055,2640,191,5.1,55.4,5,313.9,84.5,436.1,0.0254,0.7383,195.2,40.9,1.101,56.52
icr011844,TZ-gMSCPi,TZ,Bukwaya,Bukwaya-2-2,33.015202,-3.029698,35,5.87,1.344,0.049,1792,85,4.8,40.9,5.4,238.4,57.8,344.3,0.0117,0.4785,203.8,19.65,0.761,44.98
icr011863,TZ-klXtxq,TZ,Bukwaya,Bukwaya-3-1,33.015381,-3.009098,10,6.232,1.056,0.044,2854,251,6.6,38.8,5.1,448.8,82.3,331.3,0.0501,0.6582,188.7,56.71,0.867,39.03
icr011864,TZ-klXtxq,TZ,Bukwaya,Bukwaya-3-1,33.015381,-3.009098,35,6.144,0.96,0.048,2401,175,3.7,29,4.9,658.1,90.3,381,0.0423,0.8944,210.6,57.5,0.484,61.11
icr011881,TZ-gfm4x5,TZ,Bukwaya,Bukwaya-4-1,33.016113,-2.992815,10,6.035,1.248,0.036,1258,85,8.1,42.9,3.9,130.6,36.7,282.2,0.0394,0.2042,79.8,19.34,0.587,1.44
icr011882,TZ-gfm4x5,TZ,Bukwaya,Bukwaya-4-1,33.016113,-2.992815,35,5.697,1.632,0.029,938,63,6.4,37.3,3.6,150.4,36.9,382.1,0.0151,0.2186,96.86,13.38,0.444,7.6
icr011901,TZ-7bY9sC,TZ,Bukwaya,Bukwaya-5-1,33.030663,-3.060982,10,8.164,0.672,0.194,9255,676,270.7,257.1,12.8,3696,634.7,279.6,1.609,1.742,106.9,118.2,10.61,9.69
icr011902,TZ-7bY9sC,TZ,Bukwaya,Bukwaya-5-1,33.030663,-3.060982,35,7.881,0.768,0.141,4660,381,118,174.8,7.5,1725,278.8,395.3,0.8842,1.262,118.1,102.9,4.456,7.79
icr011921,TZ-WGGw2G,TZ,Bukwaya,Bukwaya-6-1,33.042397,-3.038153,10,6.313,0.768,0.075,7835,526,6.4,92.7,8.5,1629,230.2,595.7,0.2139,2.275,309,151.8,0.858,82.99
icr011922,TZ-WGGw2G,TZ,Bukwaya,Bukwaya-6-1,33.042397,-3.038153,35,7.238,1.056,0.116,3656,276,2.4,78.9,5.3,3178,286.8,601.5,0.1736,2.54,119.9,131.3,0.652,247.6
icr011941,TZ-Ho7v48,TZ,Bukwaya,Bukwaya-7-1,33.044964,-3.007335,10,6.705,0.96,0.078,3159,255,4,47.9,6.5,613.3,124.3,401.5,0.0944,0.7541,142,43.89,1.152,89.99
icr011942,TZ-Ho7v48,TZ,Bukwaya,Bukwaya-7-1,33.044964,-3.007335,35,6.871,0.672,0.081,2177,149,2.4,38.3,4.1,701.5,126.6,394.3,0.0644,0.7965,125.4,27.71,0.907,103.7
icr011960,TZ-jCMuSa,TZ,Bukwaya,Bukwaya-8-1,33.033264,-2.987467,10,7.788,0.672,0.187,8792,822,109.8,279.7,14.7,1653,295.7,332.1,0.7813,1.254,155.1,83.97,6.209,67.34
icr011961,TZ-jCMuSa,TZ,Bukwaya,Bukwaya-8-1,33.033264,-2.987467,35,8.097,0.768,0.212,3194,235,43.7,279.9,9.6,1020,179.6,338.8,0.3977,1.036,168,40.07,2.904,59.99
icr011978,TZ-hAibzR,TZ,Bukwaya,Bukwaya-9-3,33.065014,-3.05848,10,6.307,1.152,0.042,10473,776,0.5,77.6,7.1,1404,553.9,1270,0.3209,10.47,103.9,381.4,0.849,11.02
icr011979,TZ-hAibzR,TZ,Bukwaya,Bukwaya-9-3,33.065014,-3.05848,35,6.184,1.248,0.048,7858,523,0.1,50.5,5.4,1298,588.9,1227,0.2188,10.28,90.13,298.7,0.402,25.11
icr011990,TZ-Bv5XZa,TZ,Bukwaya,Bukwaya-10-1,33.062672,-3.030987,10,7.536,0.864,0.303,6385,491,12,86.1,9.2,3562,431.6,724.7,0.3028,3.183,236.5,127.5,1.43,318.6
icr011991,TZ-Bv5XZa,TZ,Bukwaya,Bukwaya-10-1,33.062672,-3.030987,35,8.586,0.288,0.401,4650,362,6.2,71.1,9.9,6639,484.6,400.9,0.5746,3.335,67.21,163.4,1.008,775.7
icr012008,TZ-SqiP4h,TZ,Bukwaya,Bukwaya-11-1,33.065521,-3.010068,10,7.804,0.672,0.215,5488,461,22.9,102.1,7,1985,179.3,345.1,0.5067,1.407,127.4,102.8,1.744,67.37
icr012009,TZ-SqiP4h,TZ,Bukwaya,Bukwaya-11-1,33.065521,-3.010068,35,8.007,0.576,0.235,5105,429,4.9,72.2,8.4,5050,299.2,397.8,0.6879,2.353,62.97,139.9,1.084,68.8
icr012027,TZ-Nb8ZTY,TZ,Bukwaya,Bukwaya-12-1,33.060581,-2.987898,10,8.07,0.768,0.202,6734,532,135.2,567.2,14.3,3245,346.9,449.1,0.7676,2.884,80.13,215.8,2.491,35.68
icr012028,TZ-Nb8ZTY,TZ,Bukwaya,Bukwaya-12-1,33.060581,-2.987898,35,8.189,0.192,0.246,4798,316,27.5,240.5,18.6,8049,422.7,241.8,0.8537,2.694,30.75,292.2,1.449,104.7
icr012043,TZ-l63ucv,TZ,Bukwaya,Bukwaya-13-1,33.084312,-3.060055,10,6.016,1.056,0.036,9228,851,4.2,251.6,13,912.6,297.9,1215,0.3943,3.395,86.22,93.2,1.803,14.52
icr012044,TZ-l63ucv,TZ,Bukwaya,Bukwaya-13-1,33.084312,-3.060055,35,4.947,3.168,0.055,6590,566,1.5,118.4,19.4,783.8,256.9,1410,0.2623,3.189,65.63,43.47,0.786,51.43
icr012063,TZ-R4ZKb3,TZ,Bukwaya,Bukwaya-14-1,33.091408,-3.036195,10,7.744,0.96,0.198,10541,533,1.7,347.7,5.7,7480,1596,1111,0.6395,4.471,125.6,276.4,1.221,75.21
icr012064,TZ-R4ZKb3,TZ,Bukwaya,Bukwaya-14-1,33.091408,-3.036195,35,8.09,0.96,0.25,8529,333,0.7,278.5,5.2,7214,1656,1029,0.6785,4.236,115.4,251.4,0.775,252.2
icr012083,TZ-FMnPB3,TZ,Bukwaya,Bukwaya-15-3,33.088543,-3.0151,10,7.285,0.864,0.115,4814,341,173.1,218.7,8.1,1362,232.9,372.7,0.3324,1.174,101.8,130.9,36.51,21.42
icr012084,TZ-FMnPB3,TZ,Bukwaya,Bukwaya-15-3,33.088543,-3.0151,35,7.138,0.96,0.098,4013,347,228.1,242.4,8,1158,208.7,390.4,0.3344,0.6522,118.2,83.36,17.05,16.32
icr012087,TZ-8HzVWr,TZ,Bukwaya,Bukwaya-16-1,33.077351,-2.991458,10,6.556,1.152,0.076,6000,599,3.2,127.5,7.9,969.1,337.9,830.5,0.2895,3.335,85.62,290,1.514,29.05
